uid,parent_uid,parent_xpath,tag,id,classes,xpath,depth,textContent,childrenCount,x,y,width,height,display,position,color,backgroundColor,zIndex,visibility
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[1]",div,,imageAnchor--21TeS,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[1]/div[1]",14,,1,8160.5546875,4080.796875,160.0,160.0,flex,absolute,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[1]/div[1]",div,,responsive-image_gradient__2ICvE,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[1]/div[1]/div[1]",15,,0,8160.5546875,4080.796875,160.0,160.0,block,static,"rgb(15, 17, 17)","rgb(234, 237, 253)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]",span,,featuringText--CaAc1,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/span[1]",13,Featured now,0,8160.5546875,4242.796875,162.0,27.0,block,static,"rgb(204, 12, 57)","rgba(0, 0, 0, 0)",auto,hidden
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]",div,,"elementContainer--3FYwc,flexColumn--2aBPG","id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[2]",13,Watch more livestreamsSee more,2,8160.5546875,4271.796875,162.0,73.0,flex,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",1,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[2]",div,,"customTitle--xXH08,customTitle--2jvEg,titleAnchor--2TGNn","id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[2]/div[1]",14,Watch more livestreams,0,8160.5546875,4271.796875,162.0,17.0,flow-root,static,"rgb(17, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[2]",div,,"link--1-tfr,link--dMwSA,linkAnchor--3nkdj","id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[2]/div[2]",14,See more,0,8160.5546875,4288.796875,162.0,56.0,flex,static,"rgb(0, 102, 192)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]",div,,scroll-carousel_gutter__2vpD2,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[43]",11,,0,8342.5546875,4072.796875,1.0,296.0,block,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]",a,,"scroll-carousel_carouselControl__Id0y9,scroll-carousel_carouselHorizontalControl__1gDln,scroll-carousel_feedLeft__2VUPq,scroll-carousel_feedDisable__ocI9y","id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/a[1]",10,,0,470.5546875,4162.796875,45.0,100.0,block,absolute,"rgb(17, 17, 17)","rgb(255, 255, 255)",2,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]",a,,"scroll-carousel_carouselControl__Id0y9,scroll-carousel_carouselHorizontalControl__1gDln,scroll-carousel_feedRight__3tG5G","id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/a[2]",10,,0,1195.0,4162.796875,45.0,100.0,block,absolute,"rgb(17, 17, 17)","rgb(255, 255, 255)",2,visible
,,"id(""desktop-6"")",script,amazonlive-pd19flagship,,"id(""amazonlive-pd19flagship"")",5,"if (window.ue && window.ue.count) {
        window.ue.count(""pd19flagship"", 1);
    }",0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""desktop-6"")",script,,,"id(""desktop-6"")/script[4]",5,"window.webpackManifest_AmazonLiveFlagshipAssets={""pinnedMessage"":""https://web.archive.org/web/202303",0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""desktop-6"")",script,,,"id(""desktop-6"")/script[5]",5,,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""desktop-6"")",script,,,"id(""desktop-6"")/script[6]",5,"(function(f) {var _np=(window.P._namespace(""AmazonLivePortalJavaScript""));if(_np.guardFatal){_np.gua",0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""desktop-6"")",script,,,"id(""desktop-6"")/script[7]",5,"(function(f) {var _np=(window.P._namespace(""AmazonLivePortalJavaScript""));if(_np.guardFatal){_np.gua",0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""main-content"")",hr,,card-flow-row-break,"id(""main-content"")/hr[11]",4,,0,10.0,4362.796875,1245.0,20.0,block,static,"rgb(128, 128, 128)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""main-content"")",div,desktop-btf-grid-9,"gw-col,csm-placement-id-0612befe-6f8f-467d-979f-629a6ad28c93,desktop-gateway-btf_hfs-everyday11-dfc2-fp.GROCERY,celwidget,pd_rd_wg-Fngao,pd_rd_w-CODS1,pd_rd_r-85768c3b-3464-4fb9-bce7-04982474fc41","id(""desktop-btf-grid-9"")",4,._single-asin-multi-image_fluid_fluidCard__3hmFA{-webkit-box-orient:vertical;-webkit-box-direction:n,5,10.0,4382.796875,311.25,420.0,block,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""desktop-btf-grid-9"")",style,,,"id(""desktop-btf-grid-9"")/style[1]",5,._single-asin-multi-image_fluid_fluidCard__3hmFA{-webkit-box-orient:vertical;-webkit-box-direction:n,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""desktop-btf-grid-9"")",div,CardInstanceFIFQDaFsbY6I0WxIlVkXOg,"a-cardui,_single-asin-multi-image_fluid_fluidCard__3hmFA","id(""CardInstanceFIFQDaFsbY6I0WxIlVkXOg"")",5,"Frequently repurchased in GroceryPrevious page<img alt=""Snickers Peanut Filled Chocolates - 22g Bar ",2,20.0,4382.796875,291.25,420.0,flex,relative,"rgb(15, 17, 17)","rgb(255, 255, 255)",auto,visible
